ABINSPAY,ABMEDGOV1,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABMORAL,ABSTATE1,ABSTATE2,SEX,RACE,CLASS,PARTYID,ID
0,0,0,0,0,0,0,0,0,1,1,2,5,1
0,1,0,0,0,0,0,0,0,2,1,2,2,2
0,0,0,0,0,0,0,0,0,1,1,3,4,3
0,1,0,0,0,0,0,0,0,2,1,3,2,4
0,1,0,0,0,0,0,1,0,1,2,4,6,5
0,1,0,0,0,0,0,0,0,2,1,2,2,6
0,1,0,0,0,0,0,0,0,2,2,2,0,7
1,0,0,0,0,0,0,0,0,1,1,2,5,8
0,0,0,0,0,0,0,0,0,2,1,1,3,9
0,1,0,0,0,0,0,0,0,1,1,3,1,10
0,1,0,0,0,0,0,0,0,1,1,3,6,11
1,1,0,0,0,0,0,0,0,2,3,2,1,12
1,0,0,0,0,0,0,0,0,2,1,2,1,13
0,1,0,0,0,0,0,1,0,1,2,2,0,14
0,0,0,0,0,0,0,0,0,2,2,1,4,15
0,1,0,0,0,0,0,1,1,2,1,3,3,16
0,1,0,0,0,0,0,1,1,2,1,2,2,17
0,0,0,0,0,0,0,1,0,2,1,3,3,18
0,0,0,0,0,0,0,0,0,2,1,3,1,19
0,1,0,0,0,0,0,0,0,1,1,3,4,20
0,0,0,0,0,0,0,0,0,2,1,3,5,21
1,1,0,0,0,0,0,0,1,2,3,2,5,22
0,0,0,0,0,0,0,0,0,2,1,3,2,23
0,1,0,0,0,0,0,0,0,1,1,2,0,24
0,0,0,0,0,0,0,0,0,2,1,3,5,25
0,0,0,0,0,0,0,1,1,1,1,3,5,26
1,0,0,0,0,0,0,0,0,2,1,2,1,27
0,1,0,0,0,0,0,0,0,2,2,3,1,28
0,0,0,0,0,0,0,0,0,2,1,3,6,29
0,0,0,0,0,0,0,0,0,1,1,3,4,30
0,1,0,0,0,0,0,0,0,2,1,2,4,31
0,1,0,0,0,0,0,0,0,1,1,3,6,32
0,0,0,0,0,0,0,0,0,2,1,3,3,33
0,0,0,0,0,0,0,0,0,2,1,3,1,34
0,0,0,0,1,0,0,0,1,2,1,3,2,35
0,0,0,0,0,0,0,0,0,1,1,2,6,36
0,0,0,0,0,0,0,1,0,2,1,3,0,37
0,1,0,0,0,0,0,0,0,1,1,1,0,38
0,1,0,0,0,0,0,1,0,2,1,1,0,41
0,0,0,0,0,0,0,0,0,1,1,2,1,42
0,1,0,0,0,0,0,0,0,2,1,1,0,43
0,1,0,1,0,0,0,0,1,1,3,3,0,44
0,0,0,0,0,0,0,0,0,2,1,2,2,45
0,1,0,0,0,0,0,0,0,2,1,2,1,46
0,0,0,0,0,0,0,0,0,1,1,3,1,47
0,1,0,0,0,0,0,0,0,2,1,4,1,48
0,0,0,0,0,0,0,1,0,1,1,3,5,49
1,1,0,0,0,1,0,0,0,2,1,3,2,50
0,0,0,0,0,0,0,0,0,1,1,2,3,51
1,0,1,1,0,0,0,0,0,2,1,3,3,53
0,0,0,0,0,0,0,1,1,2,3,2,3,54
0,1,0,0,0,0,0,0,0,1,1,3,3,55
0,1,0,0,0,0,0,0,0,1,1,3,5,56
0,0,0,0,0,0,0,0,1,2,1,3,3,57
0,0,0,0,0,0,0,1,0,2,2,2,2,58
0,1,0,0,0,0,0,0,0,2,2,1,1,60
0,0,0,0,0,0,0,0,0,2,2,3,0,61
0,0,0,0,0,0,0,0,0,2,2,1,0,62
0,0,0,0,0,0,0,1,0,2,2,3,0,63
0,1,0,0,0,0,0,1,0,2,2,3,0,64
0,1,0,0,0,0,0,0,1,1,2,2,4,65
0,0,0,0,0,0,0,0,0,1,2,1,2,66
0,1,0,0,0,0,0,0,0,1,1,2,1,67
0,1,0,0,0,0,0,0,0,2,2,2,0,68
0,0,0,0,0,0,0,0,0,2,2,3,0,69
0,0,0,0,0,0,0,0,0,2,2,1,1,70
0,1,0,0,0,0,0,0,0,1,1,1,0,71
0,1,0,0,0,0,0,0,1,1,2,2,0,72
0,0,0,0,0,0,0,1,0,2,3,2,3,73
0,0,0,0,0,0,0,0,0,2,1,4,1,74
0,1,0,0,0,0,0,0,0,1,1,3,7,75
0,1,0,0,0,0,0,0,0,2,2,2,3,76
0,0,1,0,0,0,0,1,0,2,1,3,3,77
0,1,0,0,0,0,0,0,0,2,1,3,3,78
0,0,0,0,0,0,0,0,0,2,2,3,2,81
1,0,0,0,0,0,1,0,1,2,2,2,1,82
0,0,0,0,0,0,0,0,1,2,3,2,1,83
0,1,0,0,0,0,0,0,0,2,1,2,1,84
0,1,0,0,0,0,0,0,0,1,1,2,5,85
0,0,0,0,0,0,0,0,0,1,2,3,1,86
0,1,0,0,0,0,0,0,0,2,3,1,0,87
0,0,0,0,0,0,0,0,0,1,1,3,0,88
0,1,0,0,0,0,0,0,0,1,1,3,0,89
0,0,0,0,0,0,0,0,0,1,3,2,1,90
0,1,0,0,0,0,0,0,0,1,1,3,2,91
0,0,0,0,0,0,0,0,0,2,1,3,0,92
0,1,0,0,0,0,0,0,0,1,3,3,3,93
0,1,0,0,0,0,0,0,0,2,2,2,2,95
0,1,0,0,0,0,0,0,0,1,2,3,1,96
0,0,0,0,0,0,0,0,0,2,2,3,0,97
0,0,0,0,0,0,0,0,0,1,2,2,0,98
0,1,0,0,0,0,0,1,1,2,3,3,1,99
0,0,0,0,0,0,0,0,1,2,1,2,4,100
0,1,0,0,0,0,0,0,0,1,3,1,4,101
0,1,0,0,0,0,0,0,0,1,3,3,2,103
0,0,0,0,0,0,0,0,0,2,1,3,4,104
0,1,0,0,0,0,0,0,0,1,1,3,0,105
